distance_band,proportion_in_distance_band,all,trimode,walk_base,cycle_base,drive_base,other_base,walk_goactive,cycle_goactive,drive_goactive,other_goactive,percent_walk_base,percent_cycle_base,percent_drive_base,percent_other_base,percent_walk_goactive,percent_cycle_goactive,percent_drive_goactive,percent_other_goactive
0-3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
3-6,7,201,189,40,6,143,13,0,47,142,12,20,3,71,6,0,23,71,6
6-10,40,1155,992,86,31,875,164,0,194,795,166,7,3,76,14,0,17,69,14
10-15,11,333,307,4,1,302,26,0,19,290,25,1,0,91,8,0,6,87,8
15-20,8,238,226,6,2,218,13,3,7,216,12,3,1,92,5,1,3,91,5
20-30,13,370,346,4,2,340,24,4,2,340,24,1,1,92,6,1,1,92,6
30+,21,616,535,9,1,524,81,9,1,524,81,1,0,85,13,1,0,85,13
