distance_band,proportion_in_distance_band,all,trimode,walk_base,cycle_base,drive_base,other_base,walk_goactive,cycle_goactive,drive_goactive,other_goactive,percent_walk_base,percent_cycle_base,percent_drive_base,percent_other_base,percent_walk_goactive,percent_cycle_goactive,percent_drive_goactive,percent_other_goactive
0-3,15,567,389,153,21,214,178,224,125,41,180,27,4,38,31,40,22,7,32
3-6,21,831,453,33,48,373,378,37,217,203,381,4,6,45,45,4,26,24,46
6-10,16,637,271,5,16,250,366,1,50,220,367,1,3,39,57,0,8,35,58
10-15,36,1418,243,9,58,176,1175,7,59,178,1176,1,4,12,83,0,4,13,83
15-20,5,189,49,1,3,45,140,1,3,45,140,1,2,24,74,1,2,24,74
20-30,3,119,48,3,1,44,71,3,1,44,71,3,1,37,60,3,1,37,60
30+,4,144,87,4,1,82,57,4,1,82,57,3,1,57,40,3,1,57,40
