distance_band,proportion_in_distance_band,all,trimode,walk_base,cycle_base,drive_base,other_base,walk_goactive,cycle_goactive,drive_goactive,other_goactive,percent_walk_base,percent_cycle_base,percent_drive_base,percent_other_base,percent_walk_goactive,percent_cycle_goactive,percent_drive_goactive,percent_other_goactive
0-3,64,1170,987,671,67,249,183,877,94,16,183,57,6,21,16,75,8,1,16
3-6,1,16,14,2,2,10,2,3,7,4,2,12,12,62,12,19,44,25,12
6-10,4,69,54,6,4,44,15,0,13,41,15,9,6,64,22,0,19,59,22
10-15,6,110,98,6,3,89,12,5,6,87,12,5,3,81,11,5,5,79,11
15-20,11,204,105,6,6,94,99,3,8,95,99,3,3,46,49,1,4,47,49
20-30,4,65,56,3,0,53,10,3,0,53,10,5,0,82,15,5,0,82,15
30+,10,183,109,18,5,87,73,18,5,87,73,10,3,48,40,10,3,48,40
