distance_band,proportion_in_distance_band,all,trimode,walk_base,cycle_base,drive_base,other_base,walk_goactive,cycle_goactive,drive_goactive,other_goactive,percent_walk_base,percent_cycle_base,percent_drive_base,percent_other_base,percent_walk_goactive,percent_cycle_goactive,percent_drive_goactive,percent_other_goactive
0-3,22,1307,1164,260,118,787,143,357,544,265,142,20,9,60,11,27,42,20,11
3-6,11,650,532,143,37,351,118,170,221,141,118,22,6,54,18,26,34,22,18
6-10,9,514,440,37,19,384,74,0,120,321,73,7,4,75,14,0,23,62,14
10-15,10,588,526,19,9,498,62,0,43,485,61,3,2,85,11,0,7,82,10
15-20,23,1379,1094,21,25,1049,284,1,52,1042,286,2,2,76,21,0,4,76,21
20-30,10,607,552,11,5,537,55,11,5,537,55,2,1,88,9,2,1,88,9
30+,15,868,693,17,6,670,175,17,6,670,175,2,1,77,20,2,1,77,20
