distance_band,proportion_in_distance_band,all,trimode,walk_base,cycle_base,drive_base,other_base,walk_goactive,cycle_goactive,drive_goactive,other_goactive,percent_walk_base,percent_cycle_base,percent_drive_base,percent_other_base,percent_walk_goactive,percent_cycle_goactive,percent_drive_goactive,percent_other_goactive
0-3,19,1234.79341,1074.109583,330.01986,103.826473,640.26325,160.68382700000006,519,427,127,161,27,8,52,13,42,35,10,13
3-6,36,2403.4592470000002,1857.75225,95.792282,165.00993,1596.950037,545.7069970000002,117,891,848,546,4,7,66,23,5,37,35,23
6-10,18,1210.690837,1007.982008,21.0125,69.835662,917.1338450000001,202.70882900000015,0,330,674,206,2,6,76,17,0,27,56,17
10-15,4,268.218388,227.429418,9.27022,3.090074,215.06912400000002,40.788970000000006,0,24,202,42,3,1,80,15,0,9,75,16
15-20,2,99.50037,88.99412099999999,4.326104,1.236029,83.431988,10.506249000000011,1.23603,3,84.261031,10.944116999999991,4,1,84,11,1,3,85,11
20-30,8,517.896335,465.36508599999996,3.090074,4.326104,457.94890699999996,52.53124900000006,3.090074,4.326104,457.94890699999996,52.53124900000006,1,1,88,10,1,1,88,10
30+,13,890.559254,660.039753,25.338608999999998,27.192654,607.508495,230.519501,25.338608999999998,27.192654,607.508495,230.519501,3,3,68,26,3,3,68,26
