distance_band,proportion_in_distance_band,all,trimode,walk_base,cycle_base,drive_base,other_base,walk_goactive,cycle_goactive,drive_goactive,other_goactive,percent_walk_base,percent_cycle_base,percent_drive_base,percent_other_base,percent_walk_goactive,percent_cycle_goactive,percent_drive_goactive,percent_other_goactive
0-3,18,502,443,137,23,282,60,345,144,307,106,27,5,56,12,69,29,61,21
3-6,29,794,631,121,21,489,163,225,273,807,331,15,3,62,21,28,34,102,42
6-10,5,126,113,2,2,109,12,2,35,206,31,2,2,87,10,2,28,163,25
10-15,12,327,289,3,2,284,38,3,2,284,38,1,1,87,12,1,1,87,12
15-20,4,102,92,2,2,88,10,2,218,5560,784,2,2,86,10,2,214,5451,769
20-30,15,423,385,7,2,376,37,7,110,2428,271,2,0,89,9,2,26,574,64
30+,17,456,328,6,1,321,128,6,1,321,128,1,0,70,28,1,0,70,28
