distance_band,proportion_in_distance_band,all,trimode,walk_base,cycle_base,drive_base,other_base,walk_goactive,cycle_goactive,drive_goactive,other_goactive,percent_walk_base,percent_cycle_base,percent_drive_base,percent_other_base,percent_walk_goactive,percent_cycle_goactive,percent_drive_goactive,percent_other_goactive
0-3,35,219,201,56,22,123,18,106,86,9,18,26,10,56,8,48,39,4,8
3-6,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
6-10,28,176,159,5,5,149,17,0,34,125,17,3,3,85,10,0,19,71,10
10-15,13,82,75,2,2,72,7,1,5,70,7,2,2,88,9,1,6,85,9
15-20,8,47,40,1,0,39,7,1,0,39,7,2,0,83,15,2,0,83,15
20-30,4,25,23,1,0,22,2,1,0,22,2,4,0,88,8,4,0,88,8
30+,12,77,67,4,1,61,10,4,1,61,10,5,1,79,13,5,1,79,13
