distance_band,proportion_in_distance_band,all,trimode,walk_base,cycle_base,drive_base,other_base,walk_goactive,cycle_goactive,drive_goactive,other_goactive,percent_walk_base,percent_cycle_base,percent_drive_base,percent_other_base,percent_walk_goactive,percent_cycle_goactive,percent_drive_goactive,percent_other_goactive
0-3,1,3,2,0,0,2,1,0,1,1,1,0,0,67,33,0,33,33,33
3-6,14,44,34,7,0,28,10,7,8,20,10,16,0,64,23,16,18,45,23
6-10,13,42,35,1,1,33,7,1,2,32,7,2,2,79,17,2,5,76,17
10-15,35,108,81,3,4,74,27,0,10,71,27,3,4,69,25,0,9,66,25
15-20,20,61,47,1,0,46,14,1,0,46,14,2,0,75,23,2,0,75,23
20-30,11,33,28,0,0,28,4,0,0,28,4,0,0,85,12,0,0,85,12
30+,6,20,18,1,0,17,3,1,0,17,3,5,0,85,15,5,0,85,15
