distance_band,proportion_in_distance_band,all,trimode,walk_base,cycle_base,drive_base,other_base,walk_goactive,cycle_goactive,drive_goactive,other_goactive,percent_walk_base,percent_cycle_base,percent_drive_base,percent_other_base,percent_walk_goactive,percent_cycle_goactive,percent_drive_goactive,percent_other_goactive
0-3,21,904,827,186,91,550,77,280,393,154,77,21,10,61,9,31,43,17,9
3-6,50,2165,1884,343,278,1263,281,368,848,668,281,16,13,58,13,17,39,31,13
6-10,2,96,84,1,1,82,12,0,22,62,12,1,1,85,12,0,23,65,12
10-15,9,376,340,5,10,325,36,0,43,297,36,1,3,86,10,0,11,79,10
15-20,3,128,114,3,2,110,13,0,5,110,13,2,2,86,10,0,4,86,10
20-30,4,170,156,5,3,149,14,5,3,149,14,3,2,88,8,3,2,88,8
30+,12,529,442,16,7,420,86,16,7,420,86,3,1,79,16,3,1,79,16
