"","active_trends","walk_trends","cycle_trends","drive_trends"
"80%",0.187855787476281,0.148514851485149,0.0422272821362037,0.498871841155235
"95%",0.310353168843735,0.254312469196649,0.0796074154852781,0.202412868632708
