site_name,full_name,main_local_authority,is_complete,dwellings_when_complete,planning_url,percent_commute_active_base,percent_drive_convertable,percent_mapped_drive_convertable,percent_commute_active_scenario,median_commute_distance,distance_to_town,crossing_points,percent_commute_walk_base,percent_commute_cycle_base,percent_commute_drive_base,percent_commute_bus_base,percent_commute_rail_base,percent_commute_other_base,circuity_fast_cycle,circuity_walk,busyness_fast_cycle,in_site_walk_circuity,in_site_cycle_circuity,in_site_drive_circuity,percent_commute_drive_scenario,percent_commute_walk_scenario,percent_commute_cycle_scenario,walk_base_rating,cycle_base_rating,drive_base_rating
hampton,Hampton,Peterborough,mostly,6900,NA,13,33,44,38,5.3,1.2,4,7,6,68,7,3,8,1.3,1.29,2.62,1.37,1.42,1.71,44,10,27,amber,green,amber
handforth,Handforth Garden Village,Cheshire East,no,1650,NA,11,25,34,31,6.7,2.8,1,9,2,74,3,6,6,1.68,1.48,3.64,NA,NA,NA,54,12,19,amber,amber,red
kergilliack,Kergilliack,Cornwall,no,37,https://www.falmouthpacket.co.uk/news/19129772.affordable-homes-kergilliack-falmouth-given-go-ahead/,13,43,53,43,2.4,2.8,0,11,2,75,2,2,8,1.26,1.29,2.86,1.04,1.07,1.07,45,17,27,NA,NA,NA
kidbrooke-village,Kidbrooke Village,Greenwich,mostly,4763,https://planning.royalgreenwich.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_GRNW_DCAPR_59927,9,30,54,20,9.6,1.6,6,5,4,30,13,43,4,1.36,1.54,2.94,1.6,1.72,1.75,19,8,12,red,green,green
lcid,Leeds Climate Innovation District,Leeds,partly,520,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?keyVal=NMH4Q7JB17S00&activeTab=summary,39,23,85,47,2.3,1.4,6,37,2,32,17,5,7,2.59,1.62,2.45,2.79,2.82,4.87,24,44,2,green,amber,green
lockleaze,Lockleaze,Bristol,no,150,https://www.bristolpost.co.uk/news/bristol-news/early-designs-timeline-new-150-5267536,26,38,55,45,3.7,1.5,1,15,11,51,15,1,7,1.48,1.59,2.39,2.61,2.61,2.61,32,20,24,NA,NA,NA
long-marston,Long Marston Garden Village,Stratford-upon-Avon,no,3500,NA,7,4,6,10,11.8,9.8,1,5,1,82,3,2,7,1.59,NA,3.11,NA,NA,NA,79,0,10,red,red,red
marsh-barton,Marsh Barton (Livable Exeter),Mid Devon,no,5544,https://www.liveableexeter.co.uk/garden-communities/garden-communities/marsh-barton/,30,51,61,58,1.9,2,3,22,8,53,9,1,7,1.45,1.26,3.98,2.33,2.37,4.07,25,32,26,NA,NA,NA
micklefield,Micklefield,Leeds,partly,292,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?keyVal=NMH4Q7JB17S00&activeTab=summary,5,6,22,14,14.6,6.4,8,4,1,75,8,6,7,1.22,NA,4.13,2.02,2.03,23.28,66,0,14,red,red,red
newborough-road,Newborough Road,Peterborough,no,1130,https://www.peterboroughtoday.co.uk/lifestyle/homes-and-gardens/plans-1000-new-homes-peterborough-farmland-be-submitted-3029332,8,23,27,27,4.7,6.9,2,3,5,76,6,3,8,1.78,1.98,2.47,NA,NA,NA,57,3,24,NA,NA,NA
newcastle-great-park,Newcastle Great Park,Newcastle,partly (partly before 2011),4400,https://portal.newcastle.gov.uk/planning/index.html?fa=getApplication&id=103818,9,28,33,27,6.3,3.1,5,7,2,62,14,8,7,1.38,1.32,2.65,1.46,1.49,3.96,44,8,19,amber,amber,amber
northwick-park,Northwick Park Brent,Brent,no,1600,https://www.constructionenquirer.com/2021/04/12/planning-for-1000-homes-at-north-west-london-hospital-site/,16,18,65,25,7.3,2.4,2,15,1,40,7,33,3,1.36,1.24,3.7,NA,NA,NA,32,19,6,NA,NA,NA
poundbury,Poundbury,Dorset,mostly (partly before 2011),2200,https://planning.dorsetcouncil.gov.uk/plandisp.aspx?recno=191275,26,66,76,64,2.6,2.2,6,23,3,64,2,2,7,2.38,2.32,3.24,1.3,1.37,1.49,26,40,24,green,green,amber
priors-hall,Priors Hall,Corby,partly,5095,https://publicaccess.corby.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=MHCDJ0FF00900,13,11,17,22,11.3,6.8,3,10,3,73,2,3,10,1.41,1.63,6,1.99,2.44,2.5,64,6,16,amber,amber,red
taunton-firepool,Firepool,Somerset West and Taunton,partly,747,https://www3.somersetwestandtaunton.gov.uk/asp/webpages/plan/PlAppDets.asp?casefullref=38/99/0394,41,45,68,64,1.7,2.1,10,31,10,47,2,2,7,1.66,1.74,5.28,2.11,2.08,2.81,25,45,18,green,green,green
taunton-garden,Monkton Heathfield Garden Community,Somerset West and Taunton,partly,4500,https://www3.somersetwestandtaunton.gov.uk/asp/webpages/plan/PlAppDets.asp?casefullref=48/05/0072,22,36,45,46,4.2,4.9,4,13,9,66,2,1,8,1.23,1.22,4.46,1.53,1.71,2.37,42,15,31,green,green,amber
tresham,Tresham Garden Village,East Northamptonshire,no,1500,NA,12,-10,-18,4,15.2,23.9,1,10,2,76,1,2,8,3,NA,4.12,NA,NA,NA,84,0,4,amber,amber,red
trumpington-meadows,Trumpington Meadows,Cambridge,mostly,1200,NA,32,29,45,47,4.3,3.7,3,10,22,50,6,7,4,1.31,1.31,1.82,1.32,1.44,1.77,35,12,36,amber,green,green
tyersal-lane,Tyersal Lane,Leeds,partly,270,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?keyVal=NRFIZQJB17S00&activeTab=summary,14,-5,-21,14,5,3.5,4,13,1,59,15,2,10,2.54,1.7,3.89,2.61,2.68,3.08,60,14,0,green,red,amber
upton,Upton,Northampton,mostly (partly before 2011),1382,NA,4,31,50,32,6.8,4.3,3,3,2,83,3,3,6,1.3,1.31,2.3,1.42,1.45,1.58,56,6,25,red,amber,red
water-lane,Water Lane (Livable Exeter),Mid Devon,no,1567,https://www.liveableexeter.co.uk/garden-communities/garden-communities/water-lane/,30,52,63,58,1.8,1.4,1,22,8,53,9,1,7,1.59,1.35,4.13,NA,NA,NA,25,34,24,NA,NA,NA
wichelstowe,Wichelstowe,Swindon,partly (partly before 2011),4500,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=ZZZZODPTXT032,18,33,51,44,3.7,3.1,4,15,4,67,6,2,7,1.53,1.49,3.36,1.59,1.75,4.93,42,18,26,green,green,amber
wixams,Wixams,Bedford,partly,4500,NA,9,11,16,18,6.8,8.1,2,6,3,76,4,4,7,1.54,1.61,3.75,2.41,2.82,3.94,67,1,17,red,amber,red
wynyard,Wynyard Park,Stockton-on-Tees,partly (partly before 2011),2600,https://www.developmentmanagement.stockton.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=MI28RYPK36000,6,4,5,10,9.8,8.1,2,5,1,83,3,1,7,1.72,NA,2.66,1.67,3.02,1.86,79,0,10,red,red,red
