distance_band,proportion_in_distance_band,all,trimode,walk_base,cycle_base,drive_base,other_base,walk_goactive,cycle_goactive,drive_goactive,other_goactive,percent_walk_base,percent_cycle_base,percent_drive_base,percent_other_base,percent_walk_goactive,percent_cycle_goactive,percent_drive_goactive,percent_other_goactive
0-3,61,385,308,238,8,62,76,274,15,22,76,62,2,16,20,71,4,6,20
3-6,13,84,48,11,3,35,36,11,3,35,36,13,4,42,43,13,4,42,43
6-10,7,44,27,4,1,23,17,4,1,23,17,9,2,52,39,9,2,52,39
10-15,6,40,24,2,0,22,16,2,0,22,16,5,0,55,40,5,0,55,40
15-20,3,19,11,1,0,10,8,1,0,10,8,5,0,53,42,5,0,53,42
20-30,3,16,11,1,0,10,5,1,0,10,5,6,0,62,31,6,0,62,31
30+,6,38,24,5,0,19,14,5,0,19,14,13,0,50,37,13,0,50,37
