distance_band,proportion_in_distance_band,all,trimode,walk_base,cycle_base,drive_base,other_base,walk_goactive,cycle_goactive,drive_goactive,other_goactive,percent_walk_base,percent_cycle_base,percent_drive_base,percent_other_base,percent_walk_goactive,percent_cycle_goactive,percent_drive_goactive,percent_other_goactive
0-3,15,264,242,40,7,195,22,81,115,47,21,15,3,74,8,31,44,18,8
3-6,17,294,253,9,4,240,41,13,115,127,42,3,1,82,14,4,39,43,14
6-10,16,282,261,1,3,257,20,0,58,208,22,0,1,91,7,0,21,74,8
10-15,26,454,344,2,3,339,110,0,28,320,110,0,1,75,24,0,6,70,24
15-20,6,97,91,0,0,91,6,0,1,89,7,0,0,94,6,0,1,92,7
20-30,10,177,162,1,0,160,15,1,0,160,15,1,0,90,8,1,0,90,8
30+,9,162,137,2,0,134,25,2,0,134,25,1,0,83,15,1,0,83,15
