geo_code1,geo_code2,all,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02002417,E02001573,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,30637.89927,0,0,1
E02002417,E02001577,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,38289.958711,0,0,1
E02002417,E02001578,0.191312,0,0,0.095656,0,0,0,0.095656,0,0,0,0,26517.30228,0,0,0.5
E02002417,E02001579,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,27581.915847,0,0,1
E02002432,E02001580,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,28762.332859,0,0,1
E02002432,E02001585,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,32002.376889,0,0,1
E02002432,E02001594,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,35090.513157,0,0,1
E02002432,E02001602,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,37857.303612,0,0,1
E02002417,E02001605,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,42149.331902,0,0,1
E02002432,E02001608,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,43480.159891,0,0,1
E02002417,E02001615,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,34825.61589,0,0,1
E02002432,E02001624,0.191312,0,0,0,0,0,0,0.095656,0.095656,0,0,0,36854.452686,0,0,0.5
E02002417,E02001628,0.47828,0,0,0,0,0,0,0.382624,0,0,0.095656,0,37109.062043,0.2,0,0.8
E02002417,E02001632,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,39126.595121,0,0,1
E02002417,E02001636,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,40459.471697,0,0,1
E02002417,E02001637,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,39798.783534,0,0,1
E02002417,E02001647,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,41686.3583,0,0,1
E02002417,E02001649,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,41960.707689,0,0,1
E02002417,E02001650,0.286968,0,0,0,0,0,0,0.286968,0,0,0,0,42541.316131,0,0,1
E02002432,E02001653,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,42829.02265,0,0,1
E02002432,E02001725,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,138710.870325,0,0,1
E02002417,E02001731,0.191312,0,0,0.191312,0,0,0,0,0,0,0,0,137888.985391,0,0,0
E02002432,E02001745,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,144790.631005,0,0,1
E02002417,E02001752,0.191312,0,0,0,0.095656,0,0,0.095656,0,0,0,0,142196.878246,0,0,0.5
E02002432,E02001755,0.095656,0,0,0,0,0,0,0,0.095656,0,0,0,142357.544246,0,0,0
