distance_band,proportion_in_distance_band,all,trimode,walk_base,cycle_base,drive_base,other_base,walk_goactive,cycle_goactive,drive_goactive,other_goactive,percent_walk_base,percent_cycle_base,percent_drive_base,percent_other_base,percent_walk_goactive,percent_cycle_goactive,percent_drive_goactive,percent_other_goactive
0-3,8,519,422,162,18,242,97,225,128,69,97,31,3,47,19,43,25,13,19
3-6,25,1583,1186,123,32,1031,397,162,471,553,397,8,2,65,25,10,30,35,25
6-10,12,785,620,19,12,589,165,0,172,448,165,2,2,75,21,0,22,57,21
10-15,9,595,504,7,2,495,92,0,50,454,92,1,0,83,15,0,8,76,15
15-20,8,522,455,6,1,449,66,1,10,445,66,1,0,86,13,0,2,85,13
20-30,21,1377,539,7,1,531,838,7,1,531,838,1,0,39,61,1,0,39,61
30+,16,1054,393,11,3,379,661,11,3,379,661,1,0,36,63,1,0,36,63
