distance_band,proportion_in_distance_band,all,trimode,walk_base,cycle_base,drive_base,other_base,walk_goactive,cycle_goactive,drive_goactive,other_goactive,percent_walk_base,percent_cycle_base,percent_drive_base,percent_other_base,percent_walk_goactive,percent_cycle_goactive,percent_drive_goactive,percent_other_goactive
0-3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
3-6,34,1413,1242,193,69,980,171,26,426,790,171,14,5,69,12,2,30,56,12
6-10,25,1063,870,30,40,800,193,0,238,632,193,3,4,75,18,0,22,59,18
10-15,7,293,268,9,3,256,25,0,19,249,25,3,1,87,9,0,6,85,9
15-20,8,341,313,5,4,304,28,1,8,304,28,1,1,89,8,0,2,89,8
20-30,12,523,481,4,1,475,43,4,1,475,43,1,0,91,8,1,0,91,8
30+,14,571,394,12,3,379,178,12,3,379,178,2,1,66,31,2,1,66,31
