distance_band,proportion_in_distance_band,all,trimode,walk_base,cycle_base,drive_base,other_base,walk_goactive,cycle_goactive,drive_goactive,other_goactive,percent_walk_base,percent_cycle_base,percent_drive_base,percent_other_base,percent_walk_goactive,percent_cycle_goactive,percent_drive_goactive,percent_other_goactive
0-3,50,15,16,3,1,12,-1,5,8,3,-1,20,7,80,-7,33,53,20,-7
3-6,3,1,1,0,0,1,0,0,0,1,0,0,0,100,0,0,0,100,0
6-10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-15,27,8,7,0,0,7,1,0,0,7,1,0,0,88,12,0,0,88,12
15-20,7,2,2,0,0,2,0,0,0,2,0,0,0,100,0,0,0,100,0
20-30,3,1,1,0,0,1,0,0,0,1,0,0,0,100,0,0,0,100,0
30+,7,2,2,0,0,2,0,0,0,2,0,0,0,100,0,0,0,100,0
