distance_band,proportion_in_distance_band,all,trimode,walk_base,cycle_base,drive_base,other_base,walk_goactive,cycle_goactive,drive_goactive,other_goactive,percent_walk_base,percent_cycle_base,percent_drive_base,percent_other_base,percent_walk_goactive,percent_cycle_goactive,percent_drive_goactive,percent_other_goactive
0-3,17,272.693618,254.496462,105.490761,12.131438,136.874263,18.197156000000007,157,89,9,18,39,4,50,7,58,33,3,7
3-6,6,94.414231,67.777814,3.164723,3.692177,60.920915,26.636416999999994,6,33,29,27,3,4,65,28,6,35,31,29
6-10,17,271.111256,239.991481,35.603132,8.175533999999999,196.212816,31.119775000000033,0,54,188,30,13,3,72,11,0,20,69,11
10-15,6,96.26032,82.28279500000001,1.054908,2.1098149999999998,79.118071,13.977524999999986,0.527454,8.527454,74.306972,13.373542,1,2,82,15,1,9,77,14
15-20,33,507.410562,419.06205,6.329447,7.384354,405.348252,88.34851200000003,1.5823619999999998,20.263727,401.459181,85.18634299999997,1,1,80,17,0,4,79,17
20-30,13,195.421634,175.905845,7.120628,0.527454,168.257765,19.515789000000012,7.120628,0.527454,168.257765,19.515789000000012,4,0,86,10,4,0,86,10
30+,8,121.841863,101.271159,4.483359,1.5823619999999998,95.205438,20.570704000000006,4.483359,1.5823619999999998,95.205438,20.570704000000006,4,1,78,17,4,1,78,17
