distance_band,proportion_in_distance_band,all,trimode,walk_base,cycle_base,drive_base,other_base,walk_goactive,cycle_goactive,drive_goactive,other_goactive,percent_walk_base,percent_cycle_base,percent_drive_base,percent_other_base,percent_walk_goactive,percent_cycle_goactive,percent_drive_goactive,percent_other_goactive
0-3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
3-6,13,303.45491599999997,272.212654,40.499226,4.339202,227.374228,31.242261999999982,0,79,196,29,13,1,75,10,0,26,65,10
6-10,41,959.542376,825.605651,44.259867,11.860488,769.4852950000001,133.93672500000002,0,97,738.049923,125,5,1,80,14,0,10,77,13
10-15,24,574.221168,520.125773,13.596168,5.785603,500.74400199999997,54.09539500000005,1.15712,31.28928,490.01606,54.546246999999994,2,1,87,9,0,5,85,9
15-20,8,177.618034,168.361065,3.182082,0,165.178982,9.256968999999998,1.735681,4,161.998448,10.917766,2,0,93,5,1,2,91,6
20-30,5,110.21575,102.694465,0.86784,0,101.826623,7.521285000000006,0.86784,0,101.826623,7.521285000000006,1,0,92,7,1,0,92,7
30+,10,224.192087,196.131917,8.96768,1.4464,185.717835,28.06017,8.96768,1.4464,185.717835,28.06017,4,1,83,13,4,1,83,13
