distance_band,proportion_in_distance_band,all,trimode,walk_base,cycle_base,drive_base,other_base,walk_goactive,cycle_goactive,drive_goactive,other_goactive,percent_walk_base,percent_cycle_base,percent_drive_base,percent_other_base,percent_walk_goactive,percent_cycle_goactive,percent_drive_goactive,percent_other_goactive
0-3,15,147,133,72,7,54,14,112,21,0,14,49,5,37,10,76,14,0,10
3-6,7,70,47,1,2,44,23,3,22,22,23,1,3,63,33,4,31,31,33
6-10,23,222,186,12,1,173,36,0,38,148,36,5,0,78,16,0,17,67,16
10-15,29,278,220,12,4,204,58,5,21,194,58,4,1,73,21,2,8,70,21
15-20,9,87,78,1,1,76,9,1,2,75,9,1,1,87,10,1,2,86,10
20-30,6,61,56,0,0,55,6,0,0,55,6,0,0,90,10,0,0,90,10
30+,10,100,76,3,0,72,24,3,0,72,24,3,0,72,24,3,0,72,24
